"","funds_lost","funds_returned","scamNetworks","scam_type_grouped"
"1",0,0,"Ethereum","Exit Scam"
"2",262175,0,"Binance","Exit Scam"
"3",0,0,"Polygon","Exit Scam"
"4",0,0,"Ethereum","Exit Scam"
"5",0,0,"Binance","Exit Scam"
"6",0,0,"Binance","Exit Scam"
"7",0,0,"Ethereum","Exit Scam"
"8",0,0,"Binance","Exit Scam"
"9",25236849,25236849,"Ethereum","Exploit"
"10",0,0,"Binance","Exit Scam"
"11",0,0,"Binance","Exit Scam"
"12",0,0,"Binance","Exit Scam"
"13",105421,0,"Binance","Exit Scam"
"14",0,0,"Polygon","Exit Scam"
"15",0,0,"Binance","Exit Scam"
"16",0,0,"Binance","Exit Scam"
"17",0,0,"Binance","Exit Scam"
"18",0,0,"Ethereum","Exit Scam"
"19",0,0,"Ethereum","Exit Scam"
"20",190000,0,"Polygon","Exploit"
"21",0,0,"Binance","Exit Scam"
"22",0,0,"Ethereum","Exit Scam"
"23",0,0,"Binance","Exit Scam"
"24",795,0,"Ethereum","Exit Scam"
"25",0,0,"Binance","Exit Scam"
"26",0,0,"Binance","Exit Scam"
"27",0,0,"Binance","Exit Scam"
"28",0,0,"Polygon","Exit Scam"
"29",59164,0,"Ethereum","Exit Scam"
"30",0,0,"Binance","Exit Scam"
"31",0,0,"Binance","Exit Scam"
"32",0,0,"Ethereum","Exit Scam"
"33",0,0,"Binance","Exit Scam"
"34",0,0,"Binance","Exit Scam"
"35",0,0,"Binance","Exit Scam"
"36",0,0,"Ethereum","Exit Scam"
"37",0,0,"Binance","Exit Scam"
"38",0,0,"Binance","Exit Scam"
"39",8e+05,0,"Ethereum","Exploit"
"40",0,0,"Binance","Exit Scam"
"41",0,0,"Binance","Exit Scam"
"42",25287,0,"Binance","Exit Scam"
"43",0,0,"Binance","Exit Scam"
"44",0,0,"Binance","Exit Scam"
"45",0,0,"Binance","Exit Scam"
"46",0,0,"Binance","Exit Scam"
"47",585882,0,"Binance","Exploit"
"48",0,0,"Binance","Exit Scam"
"49",0,0,"Binance","Exit Scam"
"50",0,0,"Binance","Exit Scam"
"51",0,0,"Binance","Exit Scam"
"52",0,0,"Binance","Exit Scam"
"53",0,0,"Binance","Exit Scam"
"54",79749026,79749026,"Ethereum, Arbitrum","Exploit"
"55",0,0,"Binance","Exit Scam"
"56",0,0,"Ethereum","Exit Scam"
"57",0,0,"Binance","Exit Scam"
"58",0,0,"Binance","Exit Scam"
"59",0,0,"Binance","Exit Scam"
"60",0,0,"Binance","Exit Scam"
"61",60858,0,"Ethereum","Exit Scam"
"62",0,0,"Ethereum","Exit Scam"
"63",193703,0,"Binance","Exit Scam"
"64",31096,0,"Ethereum","Exploit"
"65",0,0,"Ethereum","Exit Scam"
"66",12374,0,"Binance","Exploit"
"67",107600,0,"Polygon","Exploit"
"68",0,0,"Ethereum","Exit Scam"
"69",0,0,"Binance","Exit Scam"
"70",0,0,"Binance","Exit Scam"
"71",0,0,"Binance","Exit Scam"
"72",0,0,"Polygon","Exit Scam"
"73",0,0,"Binance","Exit Scam"
"74",177873,0,"Ethereum","Exploit"
"75",50625,0,"Binance","Exit Scam"
"76",1086000,0,"Ethereum","Exploit"
"77",2510000,2510000,"Other","Exploit"
"78",0,0,"Binance","Exit Scam"
"79",0,0,"Polygon","Exit Scam"
"80",0,0,"Binance","Exit Scam"
"81",0,0,"Polygon","Exit Scam"
"82",0,0,"Binance","Exit Scam"
"83",0,0,"Binance","Exit Scam"
"84",0,0,"Binance","Exit Scam"
"85",0,0,"Binance","Exit Scam"
"86",0,0,"Ethereum","Exit Scam"
"87",0,0,"Ethereum","Exit Scam"
"88",0,0,"Polygon","Exit Scam"
"89",0,0,"Binance","Exit Scam"
"90",0,0,"Binance","Exit Scam"
"91",3e+06,0,"Centralized","Exploit"
"92",0,0,"Binance","Exit Scam"
"93",65155,0,"Binance","Exploit"
"94",0,0,"Binance","Exit Scam"
"95",0,0,"Ethereum","Exit Scam"
"96",5263614,0,"Centralized","Exploit"
"97",0,0,"Ethereum","Exit Scam"
"98",275735,0,"Ethereum","Exploit"
"99",89522,0,"Ethereum","Exploit"
"100",0,0,"Binance","Exit Scam"
"101",91023,0,"Binance","Exit Scam"
"102",0,0,"Binance","Exit Scam"
"103",0,0,"Binance","Exit Scam"
"104",728653,0,"Polygon","Exit Scam"
"105",2.4e+07,2500000,"Ethereum","Exploit"
"106",0,0,"Binance","Exit Scam"
"107",0,0,"Binance","Exit Scam"
"108",14000,0,"Centralized","Exploit"
"109",0,0,"Binance","Exit Scam"
"110",949000,0,"Other","Exploit"
"111",0,0,"Polygon","Exit Scam"
"112",0,0,"Ethereum","Exit Scam"
"113",0,0,"Binance","Exit Scam"
"114",0,0,"Binance","Exit Scam"
"115",0,0,"Ethereum","Exit Scam"
"116",0,0,"Binance","Exit Scam"
"117",1350000,0,"Binance","Exit Scam"
"118",0,0,"Polygon","Exit Scam"
"119",0,0,"Ethereum","Exit Scam"
"120",0,0,"Binance","Exit Scam"
"121",0,0,"Binance","Exit Scam"
"122",1548908,0,"Ethereum","Exit Scam"
"123",0,0,"Binance","Exit Scam"
"124",0,0,"Binance","Exit Scam"
"125",0,0,"Ethereum","Exit Scam"
"126",5.9e+07,0,"Ethereum","Exploit"
"127",0,0,"Binance","Exit Scam"
"128",0,0,"Polygon","Exit Scam"
"129",0,0,"Binance","Exit Scam"
"130",923719,0,"Harmony","Exploit"
"131",3056651,0,"Ethereum","Exploit"
"132",0,0,"Ethereum","Exit Scam"
"133",0,0,"Binance","Exit Scam"
"134",497386,0,"Binance","Exit Scam"
"135",0,0,"Ethereum","Exit Scam"
"136",0,0,"Binance","Exit Scam"
"137",7700000,0,"Centralized","Exploit"
"138",0,0,"Binance","Exit Scam"
"139",0,0,"Binance","Exit Scam"
"140",187156,0,"Ethereum","Exploit"
"141",0,0,"Ethereum","Exit Scam"
"142",0,0,"Binance","Exit Scam"
"143",0,0,"Ethereum","Exit Scam"
"144",0,0,"Binance","Exit Scam"
"145",0,0,"Ethereum","Exit Scam"
"146",0,0,"Binance","Exit Scam"
"147",150000,0,"Ethereum","Exploit"
"148",0,0,"Binance","Exit Scam"
"149",0,0,"Binance","Exit Scam"
"150",0,0,"Binance","Exit Scam"
"151",0,0,"Ethereum","Exit Scam"
"152",0,0,"Binance","Exit Scam"
"153",0,0,"Ethereum","Exit Scam"
"154",32065,0,"Ethereum","Exit Scam"
"155",1273618,1273618,"Solana","Exploit"
"156",0,0,"Ethereum","Exit Scam"
"157",972616,0,"Ethereum","Exploit"
"158",977550,0,"Ethereum","Exploit"
"159",0,0,"Fantom","Exit Scam"
"160",0,0,"Polygon","Exit Scam"
"161",4e+06,0,"Ethereum","Exploit"
"162",7602,0,"Binance","Exit Scam"
"163",5880000,0,"Centralized","Exploit"
"164",0,0,"Binance","Exit Scam"
"165",2661699,0,"Binance","Exit Scam"
"166",0,0,"Ethereum","Exit Scam"
"167",0,0,"Ethereum","Exit Scam"
"168",5e+06,0,"Binance","Exploit"
"169",0,0,"Binance","Exit Scam"
"170",0,0,"Ethereum","Exit Scam"
"171",0,0,"Binance","Exit Scam"
"172",64891,0,"Ethereum","Exit Scam"
"173",0,0,"Ethereum","Exit Scam"
"174",0,0,"Ethereum","Exit Scam"
"175",0,0,"Binance","Exit Scam"
"176",0,0,"Binance","Exit Scam"
"177",0,0,"Ethereum","Exit Scam"
"178",0,0,"Binance","Exit Scam"
"179",0,0,"Polygon","Exit Scam"
"180",0,0,"Binance","Exit Scam"
"181",0,0,"Binance","Exit Scam"
"182",0,0,"Ethereum","Exit Scam"
"183",0,0,"Ethereum","Exit Scam"
"184",0,0,"Polygon","Exit Scam"
"185",660739,0,"Binance","Exploit"
"186",0,0,"Binance","Exit Scam"
"187",0,0,"Binance","Exit Scam"
"188",0,0,"Ethereum","Exit Scam"
"189",0,0,"Ethereum","Exit Scam"
"190",6.4e+07,0,"Centralized","Exploit"
"191",0,0,"Binance","Exit Scam"
"192",0,0,"Binance","Exit Scam"
"193",0,0,"Binance","Exit Scam"
"194",139895140,0,"Binance","Exploit"
"195",0,0,"Binance","Exit Scam"
"196",0,0,"Ethereum","Exploit"
"197",0,0,"Binance","Exit Scam"
"198",0,0,"Ethereum","Exit Scam"
"199",158343,0,"Ethereum","Exploit"
"200",0,0,"Ethereum","Exit Scam"
"201",0,0,"Binance","Exit Scam"
"202",0,0,"Binance","Exit Scam"
"203",0,0,"Binance","Exit Scam"
"204",0,0,"Binance","Exit Scam"
"205",208514,0,"Ethereum","Exit Scam"
"206",0,0,"Binance","Exit Scam"
"207",3300000,0,"Moonriver","Exploit"
"208",0,0,"Binance","Exit Scam"
"209",0,0,"Ethereum","Exit Scam"
"210",0,0,"Binance","Exit Scam"
"211",0,0,"Binance","Exit Scam"
"212",353807,0,"Ethereum","Exit Scam"
"213",686491,0,"Ethereum","Exit Scam"
"214",0,0,"Binance","Exit Scam"
"215",0,0,"Binance","Exit Scam"
"216",0,0,"Binance","Exit Scam"
"217",27100000,0,"Centralized","Exit Scam"
"218",0,0,"Binance","Exit Scam"
"219",0,0,"Binance","Exit Scam"
"220",0,0,"Ethereum","Exit Scam"
"221",30022,0,"Ethereum","Exit Scam"
"222",0,0,"Binance","Exit Scam"
"223",1910000,0,"Centralized","Exit Scam"
"224",0,0,"Ethereum","Exploit"
"225",0,0,"Binance","Exit Scam"
"226",0,0,"Binance","Exit Scam"
"227",0,0,"Binance","Exit Scam"
"228",0,0,"Binance","Exit Scam"
"229",40384,0,"Binance","Exit Scam"
"230",0,0,"Ethereum","Exit Scam"
"231",245000,0,"Ethereum","Exploit"
"232",0,0,"Binance","Exit Scam"
"233",0,0,"Ethereum","Exit Scam"
"234",0,0,"Ethereum","Exit Scam"
"235",110911,0,"Ethereum","Exploit"
"236",210893,0,"Binance","Exit Scam"
"237",0,0,"Binance","Exit Scam"
"238",0,0,"Binance","Exit Scam"
"239",0,0,"Binance","Exit Scam"
"240",0,0,"Binance","Exit Scam"
"241",0,0,"Binance","Exit Scam"
"242",0,0,"Ethereum","Exit Scam"
"243",1e+07,0,"Ethereum","Exploit"
"244",0,0,"Binance","Exit Scam"
"245",0,0,"Ethereum","Exit Scam"
"246",0,0,"Binance","Exit Scam"
"247",0,0,"Binance","Exit Scam"
"248",0,0,"Ethereum","Exit Scam"
"249",3837110,1746801,"Ethereum","Exploit"
"250",0,0,"Binance","Exit Scam"
"251",0,0,"Binance","Exit Scam"
"252",0,0,"Ethereum","Exit Scam"
"253",0,0,"Binance","Exit Scam"
"254",644404,0,"Binance","Exploit"
"255",0,0,"Binance","Exit Scam"
"256",0,0,"Binance","Exit Scam"
"257",0,0,"Binance","Exit Scam"
"258",0,0,"Binance","Exit Scam"
