Chain,Month,DOW,Scam_Type,Funds_Lost,Funds_Returned
Ethereum,August,Sunday,Exploit,FL Low Millions,No Funds Returned
Avax,May,Tuesday,Exit Scam,FL Less Than 100K,No Funds Returned
CEX,April,Saturday,Exploit,FL Low Millions,No Funds Returned
Binance,July,Wednesday,Exit Scam,FL High 100K's,No Funds Returned
Fantom,May,Saturday,Exploit,FL Less Than 100K,No Funds Returned
Ethereum,October,Tuesday,Exit Scam,FL Less Than 100K,No Funds Returned
CEX,February,Wednesday,Exploit,FL Low Millions,No Funds Returned
CEX,July,Friday,Exploit,FL Low Millions,No Funds Returned
Avax,September,Tuesday,Exploit,FL Low 100K's,No Funds Returned
Ethereum,October,Wednesday,Exit Scam,FL Less Than 100K,No Funds Returned
Binance,May,Monday,Exploit,FL High 100K's,No Funds Returned
CEX,October,Monday,Exploit,FL Low Millions,No Funds Returned
Other,October,Saturday,Exploit,FL Less Than 100K,No Funds Returned
Ethereum,July,Sunday,Exploit,FL High 100K's,No Funds Returned
Binance,February,Monday,Exit Scam,FL Low 100K's,No Funds Returned
Ethereum,June,Thursday,Exploit,FL Less Than 100K,No Funds Returned
Ethereum,December,Thursday,Exploit,FL Low 100K's,No Funds Returned
Ethereum,December,Tuesday,Exit Scam,FL Less Than 100K,No Funds Returned
Other,July,Thursday,Exit Scam,FL Low Millions,No Funds Returned
Binance,August,Tuesday,Exit Scam,FL Low 100K's,No Funds Returned
Ethereum,July,Sunday,Exploit,FL Low 100K's,FR Low 100K's
Binance,July,Wednesday,Exit Scam,FL Less Than 100K,No Funds Returned
Binance,September,Thursday,Exit Scam,FL Less Than 100K,No Funds Returned
Binance,June,Thursday,Exit Scam,FL Low 100K's,No Funds Returned
Ethereum,June,Saturday,Exploit,FL Low 100K's,No Funds Returned
Ethereum,July,Sunday,Exploit,FL Low 100K's,No Funds Returned
Other,April,Wednesday,Exploit,FL Less Than 100K,No Funds Returned
Heco,December,Thursday,Exploit,FL Low 100K's,No Funds Returned
Fantom,March,Tuesday,Exploit,FL Low Millions,No Funds Returned
Binance,January,Friday,Exit Scam,FL Low 100K's,No Funds Returned
Fantom,January,Sunday,Exit Scam,FL High 100K's,No Funds Returned
Binance,January,Thursday,Exploit,FL Low Millions,No Funds Returned
Ethereum,October,Friday,Exit Scam,FL Less Than 100K,No Funds Returned
CEX,December,Monday,Exit Scam,FL Billions,No Funds Returned
CEX,March,Tuesday,Exploit,FL Less Than 100K,FR Less Than 100K (>0)
Ethereum,June,Friday,Exit Scam,FL Less Than 100K,No Funds Returned
CEX,May,Wednesday,Exploit,FL Low 100K's,No Funds Returned
Binance,February,Wednesday,Exit Scam,FL High 100K's,No Funds Returned
Ethereum,June,Sunday,Exploit,FL Low Millions,FR Low Millions
Ethereum,February,Saturday,Exploit,FL Low Millions,FR Low Millions
Polygon,July,Monday,Exploit,FL Less Than 100K,No Funds Returned
Avax,May,Saturday,Exit Scam,FL Low Millions,No Funds Returned
CEX,October,Sunday,Exploit,FL Low Millions,No Funds Returned
Ethereum,September,Saturday,Exploit,FL Low 100K's,No Funds Returned
Ethereum,October,Tuesday,Exploit,FL Low Millions,No Funds Returned
Ethereum,July,Wednesday,Exploit,FL Low 100K's,No Funds Returned
Ethereum,February,Sunday,Exploit,FL Low Millions,No Funds Returned
Binance,July,Wednesday,Exit Scam,FL Less Than 100K,No Funds Returned
Ethereum,December,Saturday,Exit Scam,FL Less Than 100K,No Funds Returned
CEX,July,Tuesday,Exploit,FL Low Millions,No Funds Returned
Binance,September,Tuesday,Exit Scam,FL Less Than 100K,No Funds Returned
CEX,October,Wednesday,Exploit,FL Less Than 100K,No Funds Returned
Binance,March,Sunday,Exit Scam,FL Less Than 100K,No Funds Returned
Binance,June,Monday,Exploit,FL Less Than 100K,No Funds Returned
Binance,August,Monday,Exit Scam,FL Less Than 100K,No Funds Returned
Ethereum,December,Monday,Exit Scam,FL Low Millions,No Funds Returned
Gnosis,March,Tuesday,Exploit,FL Low Millions,No Funds Returned
Ethereum,December,Sunday,Exploit,FL Low Millions,No Funds Returned
Binance,September,Friday,Exploit,FL Low 100K's,No Funds Returned
Ethereum,July,Wednesday,Exploit,FL Low Millions,No Funds Returned
Ethereum,June,Friday,Exit Scam,FL Low 100K's,No Funds Returned
Ethereum,October,Monday,Exit Scam,FL Less Than 100K,No Funds Returned
Binance,September,Thursday,Exploit,FL Low 100K's,No Funds Returned
Other,April,Friday,Exploit,FL Low 100K's,FR Less Than 100K (>0)
Ethereum,May,Wednesday,Exploit,FL High 100K's,No Funds Returned
Ethereum,December,Saturday,Exit Scam,FL Less Than 100K,No Funds Returned
Binance,September,Sunday,Exploit,FL High 100K's,No Funds Returned
Binance,September,Thursday,Exit Scam,FL Low 100K's,No Funds Returned
Ethereum,June,Thursday,Exploit,FL Low Millions,No Funds Returned
Ethereum,March,Sunday,Exit Scam,FL Less Than 100K,No Funds Returned
Binance,April,Thursday,Exploit,FL Low Millions,No Funds Returned
Ethereum,December,Tuesday,Exit Scam,FL Less Than 100K,No Funds Returned
Ethereum,October,Saturday,Exit Scam,FL Less Than 100K,No Funds Returned
Solana,March,Wednesday,Exploit,FL Low Millions,No Funds Returned
Ethereum,January,Sunday,Exit Scam,FL Low 100K's,No Funds Returned
Ethereum,March,Sunday,Exploit,FL High 100K's,No Funds Returned
Ethereum,October,Sunday,Exit Scam,FL Less Than 100K,No Funds Returned
Other,March,Monday,Exploit,FL Low 100K's,No Funds Returned
Binance,August,Monday,Exit Scam,FL Less Than 100K,No Funds Returned
Binance,October,Friday,Exploit,FL High 100K's,No Funds Returned
Ethereum,March,Monday,Exploit,FL Low Millions,No Funds Returned
